GM,Hour
JULAES,200
AUGAES,200
SEPAES,200
OCTAES,200
NOVAES,100
DECAES,100
JANAET,-800
FEBAET,-800
MARAET,-800
APRAET,-800
MAYAET,-800
JUNAET,-800
JULAET,-800
AUGAET,-800
SEPAET,-800
OCTAET,-800
NOVAET,-800
DECAET,-800
JANAEU,430
FEBAEU,430
MARAEU,430
APRAEU,430
MAYAEU,430
JUNAEU,430
JULAEU,430
AUGAEU,430
SEPAEU,430
OCTAEU,430
NOVAEU,430
DECAEU,430
JANAEX,-600
FEBAEX,-600
MARAEX,-500
APRAEX,-500
MAYAEX,-500
JUNAEX,-500
JULAEX,-500
AUGAEX,-500
SEPAEX,-500
OCTAEX,-500
NOVAEX,-600
DECAEX,-600
JANAEY,0
FEBAEY,0
MARAEY,0
APRAEY,0
MAYAEY,0
JUNAEY,0
JULAEY,0
AUGAEY,0
SEPAEY,0
OCTAEY,0
NOVAEY,0
DECAEY,0
JANAFA,-300
FEBAFA,-300
MARAFA,-300
APRAFA,-300
MAYAFA,-300
JUNAFA,-300
JULAFA,-300
AUGAFA,-300
SEPAFA,-300
OCTAFA,-300
NOVAFA,-300
DECAFA,-300
JANAFL,-300
FEBAFL,-400
MARAFL,-400
APRAFL,-400
MAYAFL,-400
JUNAFL,-400
JULAFL,-400
AUGAFL,-400
SEPAFL,-400
OCTAFL,-300
NOVAFL,-300
DECAFL,-300
JANAFS,500
FEBAFS,500
MARAFS,500
APRAFS,500
MAYAFS,500
JUNAFS,500
JULAFS,500
AUGAFS,500
SEPAFS,500
OCTAFS,500
NOVAFS,500
DECAFS,500
JANAFT,1100
FEBAFT,1100
MARAFT,1100
APRAFT,1100
MAYAFT,1100
JUNAFT,1100
JULAFT,1100
AUGAFT,1100
SEPAFT,1100
OCTAFT,1100
NOVAFT,1100
DECAFT,1100
JANAFZ,430
FEBAFZ,430
MARAFZ,430
APRAFZ,430
MAYAFZ,430
JUNAFZ,430
JULAFZ,430
AUGAFZ,430
SEPAFZ,430
OCTAFZ,430
NOVAFZ,430
DECAFZ,430
JANAGA,0
FEBAGA,0
MARAGA,0
APRAGA,100
MAYAGA,100
JUNAGA,100
JULAGA,100
AUGAGA,100
SEPAGA,100
OCTAGA,100
NOVAGA,0
DECAGA,0
JANAGB,200
FEBAGB,200
MARAGB,100
APRAGB,200
MAYAGB,200
JUNAGB,200
JULAGB,200
AUGAGB,200
SEPAGB,200
OCTAGB,200
NOVAGB,200
DECAGB,200
JANAGC,-500
FEBAGC,-500
MARAGC,-500
APRAGC,-500
MAYAGC,-500
JUNAGC,-500
JULAGC,-500
AUGAGC,-500
SEPAGC,-500
OCTAGC,-500
NOVAGC,-500
DECAGC,-500
JANAGF,100
FEBAGF,100
MARAGF,100
APRAGF,100
MAYAGF,200
JUNAGF,200
JULAGF,200
AUGAGF,200
SEPAGF,200
OCTAGF,200
NOVAGF,100
DECAGF,100
JANAGH,100
